Date,Open,High,Low,Close,Adj Close,Volume
1/2/18,170.160004,172.300003,169.259995,172.259995,172.259995,25555900
1/3/18,172.529999,174.550003,171.960007,172.229996,172.229996,29517900
1/4/18,172.539993,173.470001,172.080002,173.029999,173.029999,22434600
1/5/18,173.440002,175.369995,173.050003,175,175,23660000
1/8/18,174.350006,175.610001,173.929993,174.350006,174.350006,20567800
1/9/18,174.550003,175.059998,173.410004,174.330002,174.330002,21584000
1/10/18,173.160004,174.300003,173,174.289993,174.289993,23959900
1/11/18,174.589996,175.490005,174.490005,175.279999,175.279999,18667700
1/12/18,176.179993,177.360001,175.649994,177.089996,177.089996,25418100
1/16/18,177.899994,179.389999,176.139999,176.190002,176.190002,29565900
1/17/18,176.149994,179.25,175.070007,179.100006,179.100006,34386800
1/18/18,179.369995,180.100006,178.25,179.259995,179.259995,31193400
1/19/18,178.610001,179.580002,177.410004,178.460007,178.460007,32425100
1/22/18,177.300003,177.779999,176.600006,177,177,27108600
1/23/18,177.300003,179.440002,176.820007,177.039993,177.039993,32689100
1/24/18,177.25,177.300003,173.199997,174.220001,174.220001,51105100
1/25/18,174.509995,174.949997,170.529999,171.110001,171.110001,41529000
1/26/18,172,172,170.059998,171.509995,171.509995,37687500
